ID;weibo_poiid;;dianping_id;;classification;weibo_title;dianping_title;address;dianping_addr;dianping_tag;dianping_tag_2;2015 bjdw event no.;lat;lon;lat_wgs;lng_wgs;lat_BD;lng_BD;weibo count;dianping count
133;;;20731576;;3;小蚂蚁皮影艺术团;;西河沿大街147号;;;;75;;;39.89828783;116.3880285;;;;8
134;;;56777920;;2;星巴克咖啡;星巴克(大栅栏店);弓字胡同2号;大栅栏街道弓字胡同10号;咖啡厅;前门;78;;;39.89741219;116.3797934;;;;2
135;;;5248677;;1;内观堂旧书店;内观堂Bookstore;铁树斜街44号;铁树斜街胡同;书店;虎坊桥;;;;39.89654306;116.3786245;;;;10
136;;;32674382;;2;乔当家脆皮火烧;;;大栅栏西街98号;小吃快餐;前门;;;;39.89755281;116.3789141;;;;21
137;;;14920981;;1;华润万家便利超市;;;大栅栏西街15号;超市/便利店;前门;;;;39.89795129;116.3782366;;;;7
138;;;21286168;;2;老北京羊蝎子;;;大栅栏西街68号;火锅;前门;;;;39.89755639;116.3789166;;;;59
139;;;22510934;;1;UPlant house有种房子;;;杨梅竹斜街128号;文化艺术;前门;;;;39.89773009;116.3799182;;;;10
140;;;2888878;;2;格格酥;;;前门大栅栏西街75号;小吃快餐;前门;;;;39.89779194;116.3801331;;;;168
141;;;14879472;;4;皓阳文化酒店(大栅栏西街店);;;大栅栏西街53号;三星级/舒适型;前门;;;;39.89599311;116.3785945;;;;35
142;;;17837011;;1;京华客栈;;;大栅栏西街46号;其他;前门;;;;39.89404699;116.3788856;;;;4
143;;;18555325;;4;99连锁旅馆(前门大栅栏店);;;北京市西城区大栅栏西街86号;经济型;前门;;;;39.89659773;116.3790861;;;;4
144;;;5206443;;2;臭热闹台湾小吃;;;大栅栏西街85号;小吃快餐;前门;;;;39.8950925;116.3795039;;;;13
145;;;21785061;;2;口留香煎饼(前门大栅栏店);;;大栅栏西街2号;小吃快餐;前门;;;;39.89528984;116.3790153;;;;66
146;;;4284608;;4;东升平宾馆;;;前门大栅栏西街11号;经济型;前门;;;;39.89466254;116.379474;;;;12
147;;;32862989;;2;彩虹之约;;;前门大栅栏陕西巷23号;小吃快餐;虎坊桥;;;;39.89508288;116.3789644;;;;3
148;;;19575067;;2;京华寻骊社;;;大栅栏西街46号;西餐;前门;;;;39.89559395;116.383566;;;;5
149;;;17659665;;2;爱尚草原;;;大栅栏西街74号;其他;前门;;;;39.89443957;116.3843907;;;;2
150;;;32572946;;1;贪嘴儿 零食忆站;;;大栅栏西街65号;超市/便利店;前门;;;;39.89396092;116.3820022;;;;5
151;;;3619885;;4;轻联富润饭店(前门店);;;杨梅竹斜街104号;经济型;前门;;;;39.89522801;116.3879189;;;;25
152;;;16825884;;2;老北京炙子烤肉(西街店);;;铁树斜街24号;烧烤;宣武门;;;;39.8975482;116.3871389;;;;9
153;;;21159377;;2;盛永斋茶艺馆;;;大栅栏杨梅竹斜街;茶馆;前门;;;;39.89749816;116.3872289;;;;2
154;;;13771513;;4;客来宾馆;;;前门大栅栏西街石头胡同85号;经济型;前门;;;;39.89833733;116.389548;;;;1
155;;;3623794;;4;博盛园宾馆;;;大栅栏西街65号;经济型;前门;;;;39.89800752;116.3889682;;;;2
156;;;24901752;24399519;2;山东老面大枣胖馒头;;;大栅栏;小吃快餐;大红门;;;;39.89457858;116.3865206;;;;2
157;;;19492960;;2;优优尚品(大栅栏西街店);;;大栅栏西街1号附近;面包甜点;前门;;;;39.89436794;116.3882089;;;;1
158;;;2898766;;2;福乐居火锅店;;;大栅栏西街106号;火锅;宣武门;;;;39.89387834;116.3871894;;;;33
159;;;5401552;;2;锦州烧烤;;;大栅栏西街81号;烧烤;前门;;;;39.89465796;116.3881089;;;;2
160;;;20896153;;2;老郭早点;;;大栅栏石头胡同75号;小吃快餐;前门;;;;39.89418816;116.3876392;;;;1
161;;;11255768;;4;东方足韵;;;大栅栏西街56号;洗浴;前门;;;;39.89473535;116.3870693;;;;1
162;;;21070080;;2;富源春排骨米饭;;;大栅栏铁树斜街20号;东北菜;前门;;;;39.89302316;116.3787148;;;;1
163;;;21341798;;2;藏堡(前门店);;;大栅栏西街81号;其他;前门;;;;39.89263245;116.379734;;;;23
164;;;9077520;;2;老北京小吃;;;大栅栏西街34号;小吃快餐;前门;;;;39.89373303;116.3788446;;;;110
